"year","month","day","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","carrier","flight","tailnum","origin","dest","air_time","distance","hour","minute","time_hour"
2013,1,17,1749,1745,4,2043,2055,-12,"AA",785,"N3BJAA","LGA","DFW",206,1389,17,45,2013-01-17 17:00:00
2013,1,18,826,835,-9,1114,1150,-36,"AA",717,"N3GPAA","LGA","DFW",204,1389,8,35,2013-01-18 08:00:00
2013,1,18,1701,1708,-7,2011,2023,-12,"B6",15,"N179JB","JFK","FLL",156,1069,17,8,2013-01-18 17:00:00
2013,1,18,2059,2020,39,2315,2245,30,"MQ",4662,"N510MQ","LGA","ATL",114,762,20,20,2013-01-18 20:00:00
2013,1,19,1642,1645,-3,1833,1851,-18,"EV",4997,"N615QX","EWR","DTW",92,488,16,45,2013-01-19 16:00:00
2013,1,21,2123,2125,-2,2217,2224,-7,"EV",4404,"N13908","EWR","PVD",33,160,21,25,2013-01-21 21:00:00
2013,1,22,532,540,-8,829,850,-21,"AA",1141,"N5BTAA","JFK","MIA",151,1089,5,40,2013-01-22 05:00:00
2013,1,22,558,600,-2,846,837,9,"DL",461,"N688DL","LGA","ATL",132,762,6,0,2013-01-22 06:00:00
2013,1,22,900,900,0,1207,1227,-20,"DL",120,"N721TW","JFK","LAX",336,2475,9,0,2013-01-22 09:00:00
2013,1,22,957,959,-2,1237,1248,-11,"B6",197,"N625JB","JFK","LAS",314,2248,9,59,2013-01-22 09:00:00
2013,1,22,1130,1115,15,1319,1257,22,"EV",5273,"N750EV","LGA","PIT",76,335,11,15,2013-01-22 11:00:00
2013,1,23,1559,1600,-1,1859,1915,-16,"AA",565,"N3DWAA","JFK","DFW",209,1391,16,0,2013-01-23 16:00:00
2013,1,24,1739,1625,74,2029,1855,94,"MQ",4661,"N530MQ","LGA","ATL",108,762,16,25,2013-01-24 16:00:00
2013,1,25,828,830,-2,1021,1023,-2,"9E",4220,"N8672A","JFK","RDU",73,427,8,30,2013-01-25 08:00:00
2013,1,25,1358,1400,-2,1629,1636,-7,"DL",2247,"N658DL","LGA","ATL",120,762,14,0,2013-01-25 14:00:00
2013,1,25,2305,2129,96,2357,2224,93,"EV",4619,"N14562","EWR","PHL",26,80,21,29,2013-01-25 21:00:00
2013,1,26,1906,1900,6,2204,2206,-2,"UA",527,"N806UA","EWR","DFW",198,1372,19,0,2013-01-26 19:00:00
2013,1,26,1956,2000,-4,2125,2137,-12,"EV",4125,"N48901","EWR","GSO",70,445,20,0,2013-01-26 20:00:00
2013,1,27,658,700,-2,1014,1027,-13,"B6",671,"N775JB","JFK","LAX",354,2475,7,0,2013-01-27 07:00:00
2013,1,27,1527,1530,-3,1846,1855,-9,"AA",1039,"N3GAAA","JFK","FLL",148,1069,15,30,2013-01-27 15:00:00
2013,1,27,1538,1540,-2,1703,1716,-13,"9E",4178,"N8972E","JFK","ROC",57,264,15,40,2013-01-27 15:00:00
2013,1,27,1935,1910,25,2134,2118,16,"EV",4543,"N21144","EWR","DSM",162,1017,19,10,2013-01-27 19:00:00
2013,1,29,754,759,-5,856,916,-20,"EV",4392,"N13550","EWR","SYR",39,195,7,59,2013-01-29 07:00:00
2013,1,29,2003,2000,3,2140,2137,3,"EV",4106,"N18556","EWR","GSO",70,445,20,0,2013-01-29 20:00:00
2013,1,30,715,715,0,1032,1045,-13,"AA",443,"N5EFAA","JFK","MIA",154,1089,7,15,2013-01-30 07:00:00
2013,1,30,1953,1659,174,107,2046,NA,"9E",3375,"N930XJ","JFK","SAT",NA,1587,16,59,2013-01-30 16:00:00
2013,1,31,555,600,-5,743,759,-16,"DL",731,"N369NB","LGA","DTW",82,502,6,0,2013-01-31 06:00:00
2013,1,31,713,720,-7,843,845,-2,"FL",850,"N942AT","LGA","MKE",107,738,7,20,2013-01-31 07:00:00
2013,1,31,1815,1819,-4,2006,1932,34,"EV",4520,"N11536","EWR","PWM",53,284,18,19,2013-01-31 18:00:00
2013,10,1,1230,1239,-9,1358,1420,-22,"EV",4335,"N13956","EWR","CMH",69,463,12,39,2013-10-01 12:00:00
2013,10,2,2016,2022,-6,2227,2246,-19,"B6",135,"N760JB","JFK","PHX",283,2153,20,22,2013-10-02 20:00:00
2013,10,3,624,625,-1,900,935,-35,"WN",16,"N438WN","EWR","HOU",194,1411,6,25,2013-10-03 06:00:00
2013,10,3,1630,1620,10,1753,1740,13,"UA",1463,"N39728","EWR","BOS",50,200,16,20,2013-10-03 16:00:00
2013,10,4,913,931,-18,1205,1235,-30,"B6",271,"N665JB","LGA","FLL",142,1076,9,31,2013-10-04 09:00:00
2013,10,4,1508,1510,-2,1859,1920,-21,"AA",95,"N5ETAA","JFK","SJU",201,1598,15,10,2013-10-04 15:00:00
2013,10,4,1544,1545,-1,1935,1944,-9,"DL",4,"N3753","JFK","SJU",209,1598,15,45,2013-10-04 15:00:00
2013,10,6,932,930,2,1105,1055,10,"WN",124,"N458WN","LGA","MDW",108,725,9,30,2013-10-06 09:00:00
2013,10,6,1200,1210,-10,1322,1330,-8,"MQ",3461,"N507MQ","LGA","BNA",117,764,12,10,2013-10-06 12:00:00
2013,10,7,542,545,-3,813,827,-14,"UA",1714,"N39728","LGA","IAH",189,1416,5,45,2013-10-07 05:00:00
2013,10,7,749,600,109,851,730,81,"UA",279,"N495UA","EWR","ORD",104,719,6,0,2013-10-07 06:00:00
2013,10,7,1022,1025,-3,1325,1325,0,"AA",1131,"N3HDAA","LGA","DFW",196,1389,10,25,2013-10-07 10:00:00
2013,10,7,1620,1625,-5,1942,1932,10,"B6",423,"N570JB","JFK","LAX",333,2475,16,25,2013-10-07 16:00:00
2013,10,7,1654,1445,129,2028,1750,158,"B6",1171,"N637JB","LGA","FLL",169,1076,14,45,2013-10-07 14:00:00
2013,10,7,1739,1710,29,2111,2033,38,"B6",167,"N571JB","JFK","OAK",350,2576,17,10,2013-10-07 17:00:00
2013,10,7,2221,2059,82,230,58,92,"DL",347,"N384DA","JFK","SJU",213,1598,20,59,2013-10-07 20:00:00
2013,10,7,NA,1300,NA,NA,1450,NA,"MQ",3388,"N812MQ","LGA","CMH",NA,479,13,0,2013-10-07 13:00:00
2013,10,8,830,825,5,1020,1022,-2,"B6",219,"N249JB","JFK","CLT",91,541,8,25,2013-10-08 08:00:00
2013,10,8,907,905,2,1101,1115,-14,"DL",181,"N316US","LGA","DTW",78,502,9,5,2013-10-08 09:00:00
2013,10,8,1602,1615,-13,1903,1845,18,"MQ",3357,"N506MQ","LGA","ATL",118,762,16,15,2013-10-08 16:00:00
2013,10,9,1515,1515,0,1702,1724,-22,"EV",4181,"N11121","EWR","MCI",143,1092,15,15,2013-10-09 15:00:00
2013,10,9,1930,1934,-4,2143,2226,-43,"UA",1429,"N33286","EWR","LAS",285,2227,19,34,2013-10-09 19:00:00
2013,10,10,1911,1815,56,2029,1954,35,"EV",5287,"N744EV","LGA","MSN",109,812,18,15,2013-10-10 18:00:00
2013,10,10,1954,1930,24,2108,2049,19,"EV",5769,"N827AS","LGA","IAD",53,229,19,30,2013-10-10 19:00:00
2013,10,11,1420,1300,80,1728,1622,66,"DL",432,"N624AG","JFK","SFO",326,2586,13,0,2013-10-11 13:00:00
2013,10,11,1424,1355,29,1621,1550,31,"MQ",3567,"N502MQ","LGA","CLT",78,544,13,55,2013-10-11 13:00:00
2013,10,11,1656,1651,5,1927,1957,-30,"B6",89,"N599JB","JFK","SAN",311,2446,16,51,2013-10-11 16:00:00
2013,10,14,702,700,2,1109,1056,13,"B6",3,"N534JB","JFK","SJU",208,1598,7,0,2013-10-14 07:00:00
2013,10,14,706,710,-4,1000,1022,-22,"DL",2003,"N329NB","LGA","MIA",139,1096,7,10,2013-10-14 07:00:00
2013,10,14,835,840,-5,1044,1055,-11,"EV",4419,"N17159","EWR","XNA",163,1131,8,40,2013-10-14 08:00:00
2013,10,14,1222,1230,-8,1350,1405,-15,"AA",329,"N504AA","LGA","ORD",115,733,12,30,2013-10-14 12:00:00
2013,10,14,1430,1435,-5,1607,1609,-2,"UA",460,"N851UA","EWR","CLE",67,404,14,35,2013-10-14 14:00:00
2013,10,14,1827,1820,7,2124,2124,0,"B6",1013,"N559JB","JFK","LGB",327,2465,18,20,2013-10-14 18:00:00
2013,10,14,2003,2001,2,2223,2249,-26,"B6",1083,"N804JB","JFK","MCO",117,944,20,1,2013-10-14 20:00:00
2013,10,14,2004,1925,39,2300,2247,13,"DL",2307,"N316US","JFK","SAT",204,1587,19,25,2013-10-14 19:00:00
2013,10,15,827,826,1,1241,1219,22,"B6",403,"N554JB","JFK","SJU",216,1598,8,26,2013-10-15 08:00:00
2013,10,16,553,600,-7,739,730,9,"AA",301,"N502AA","LGA","ORD",127,733,6,0,2013-10-16 06:00:00
2013,10,16,850,829,21,1052,1029,23,"MQ",3478,"N526MQ","LGA","DTW",79,502,8,29,2013-10-16 08:00:00
2013,10,17,1314,1310,4,1528,1517,11,"EV",5299,"N398CA","LGA","MEM",157,963,13,10,2013-10-17 13:00:00
2013,10,18,742,749,-7,1029,1043,-14,"B6",1717,"N627JB","LGA","TPA",150,1010,7,49,2013-10-18 07:00:00
2013,10,18,1349,1345,4,1648,1650,-2,"AA",117,"N335AA","JFK","LAX",337,2475,13,45,2013-10-18 13:00:00
2013,10,18,2144,2130,14,2343,2324,19,"EV",3833,"N13550","EWR","CLT",87,529,21,30,2013-10-18 21:00:00
2013,10,19,848,900,-12,1013,1045,-32,"AA",313,"N520AA","LGA","ORD",118,733,9,0,2013-10-19 09:00:00
2013,10,19,1241,1248,-7,1441,1448,-7,"DL",1131,"N925DL","LGA","DTW",93,502,12,48,2013-10-19 12:00:00
2013,10,19,1349,1400,-11,1700,1655,5,"AA",1151,"N3BVAA","LGA","DFW",229,1389,14,0,2013-10-19 14:00:00
2013,10,20,900,905,-5,1045,1113,-28,"DL",181,"N329NB","LGA","DTW",84,502,9,5,2013-10-20 09:00:00
2013,10,20,904,910,-6,1234,1229,5,"DL",874,"N326NB","LGA","MIA",157,1096,9,10,2013-10-20 09:00:00
2013,10,20,1600,1600,0,1902,1859,3,"DL",2459,"N378DA","JFK","MCO",143,944,16,0,2013-10-20 16:00:00
2013,10,20,2111,2110,1,2340,2356,-16,"UA",866,"N511UA","EWR","LAS",284,2227,21,10,2013-10-20 21:00:00
2013,10,21,1019,1025,-6,1144,1140,4,"MQ",3611,"N501MQ","EWR","ORD",122,719,10,25,2013-10-21 10:00:00
2013,10,21,1059,1100,-1,1209,1218,-9,"US",2177,"N714US","LGA","DCA",43,214,11,0,2013-10-21 11:00:00
2013,10,21,1423,1425,-2,1715,1731,-16,"UA",1493,"N37263","EWR","LAX",333,2454,14,25,2013-10-21 14:00:00
2013,10,21,1552,1605,-13,1734,1755,-21,"AA",343,"N491AA","LGA","ORD",121,733,16,5,2013-10-21 16:00:00
2013,10,22,1445,1455,-10,1634,1640,-6,"MQ",3359,"N829MQ","JFK","RDU",81,427,14,55,2013-10-22 14:00:00
2013,10,22,2008,2018,-10,2107,2144,-37,"9E",3885,"N8505Q","JFK","BWI",41,184,20,18,2013-10-22 20:00:00
2013,10,23,845,850,-5,1139,1141,-2,"B6",189,"N807JB","JFK","SAN",333,2446,8,50,2013-10-23 08:00:00
2013,10,24,843,850,-7,958,1028,-30,"EV",5286,"N614QX","LGA","BTV",42,258,8,50,2013-10-24 08:00:00
2013,10,24,955,1005,-10,1150,1217,-27,"DL",2319,"N327NW","LGA","MSP",138,1020,10,5,2013-10-24 10:00:00
2013,10,24,1350,1359,-9,1558,1605,-7,"B6",1373,"N206JB","JFK","CHS",105,636,13,59,2013-10-24 13:00:00
2013,10,25,1302,1300,2,1415,1425,-10,"WN",3937,"N421LV","EWR","BNA",110,748,13,0,2013-10-25 13:00:00
2013,10,26,1558,1535,23,1730,1715,15,"MQ",3416,"N0EGMQ","LGA","RDU",67,431,15,35,2013-10-26 15:00:00
2013,10,26,1651,1700,-9,1906,1900,6,"MQ",3556,"N542MQ","LGA","DTW",102,502,17,0,2013-10-26 17:00:00
2013,10,27,1329,1329,0,1605,1625,-20,"UA",537,"N461UA","EWR","PBI",142,1023,13,29,2013-10-27 13:00:00
2013,10,27,1811,1759,12,2030,2029,1,"UA",866,"N571UA","EWR","LAS",300,2227,17,59,2013-10-27 17:00:00
2013,10,28,635,640,-5,747,807,-20,"EV",4422,"N12166","EWR","PIT",52,319,6,40,2013-10-28 06:00:00
2013,10,28,754,800,-6,1003,1013,-10,"9E",3538,"N914XJ","JFK","MSP",155,1029,8,0,2013-10-28 08:00:00
2013,10,28,853,900,-7,1043,1034,9,"UA",235,"N810UA","LGA","ORD",123,733,9,0,2013-10-28 09:00:00
2013,10,28,1054,1100,-6,1319,1341,-22,"DL",1647,"N603DL","LGA","ATL",103,762,11,0,2013-10-28 11:00:00
2013,10,29,1454,1500,-6,1652,1634,18,"UA",685,"N837UA","LGA","ORD",132,733,15,0,2013-10-29 15:00:00
2013,10,29,1856,1900,-4,2223,2235,-12,"DL",435,"N713TW","JFK","SFO",366,2586,19,0,2013-10-29 19:00:00
2013,10,30,748,749,-1,941,946,-5,"EV",4246,"N16546","EWR","DTW",83,488,7,49,2013-10-30 07:00:00
2013,10,31,835,840,-5,1013,1020,-7,"MQ",3531,"N848MQ","LGA","RDU",67,431,8,40,2013-10-31 08:00:00
2013,10,31,841,845,-4,1010,1030,-20,"EV",5288,"N720EV","LGA","BUF",53,292,8,45,2013-10-31 08:00:00
2013,10,31,1327,1330,-3,1549,1552,-3,"DL",2043,"N326NB","JFK","ATL",117,760,13,30,2013-10-31 13:00:00
2013,11,1,714,720,-6,1008,1030,-22,"AS",15,"N403AS","EWR","SEA",331,2402,7,20,2013-11-01 07:00:00
2013,11,1,1023,1026,-3,1213,1221,-8,"EV",4412,"N21129","EWR","DSM",150,1017,10,26,2013-11-01 10:00:00
2013,11,1,1318,1257,21,1418,1414,4,"EV",6054,"N16999","EWR","IAD",41,212,12,57,2013-11-01 12:00:00
2013,11,1,1346,1345,1,1701,1657,4,"DL",2449,"N358NB","LGA","MIA",163,1096,13,45,2013-11-01 13:00:00
2013,11,1,1449,1455,-6,1633,1640,-7,"MQ",3359,"N808MQ","JFK","RDU",77,427,14,55,2013-11-01 14:00:00
2013,11,1,1940,1900,40,2056,2025,31,"WN",490,"N902WN","LGA","MKE",110,738,19,0,2013-11-01 19:00:00
2013,11,3,1125,1130,-5,1333,1344,-11,"DL",2219,"N918DL","LGA","MSP",160,1020,11,30,2013-11-03 11:00:00
2013,11,3,1855,1829,26,2043,2004,39,"MQ",3134,"N522MQ","EWR","ORD",116,719,18,29,2013-11-03 18:00:00
2013,11,4,639,635,4,743,747,-4,"UA",1463,"N23721","EWR","BOS",38,200,6,35,2013-11-04 06:00:00
2013,11,4,1907,1910,-3,2142,2215,-33,"AA",21,"N338AA","JFK","LAX",313,2475,19,10,2013-11-04 19:00:00
2013,11,5,807,810,-3,1022,1034,-12,"DL",2457,"N320NB","LGA","MSY",165,1183,8,10,2013-11-05 08:00:00
2013,11,5,1444,1445,-1,1740,1757,-17,"B6",1171,"N608JB","LGA","FLL",153,1076,14,45,2013-11-05 14:00:00
2013,11,6,457,500,-3,643,651,-8,"US",1895,"N539UW","EWR","CLT",85,529,5,0,2013-11-06 05:00:00
2013,11,6,1119,1119,0,1433,1432,1,"UA",274,"N598UA","JFK","LAX",342,2475,11,19,2013-11-06 11:00:00
2013,11,6,1607,1610,-3,1858,1918,-20,"UA",1064,"N38443","EWR","FLL",145,1065,16,10,2013-11-06 16:00:00
2013,11,6,2001,2005,-4,2302,2310,-8,"B6",1201,"N586JB","JFK","FLL",143,1069,20,5,2013-11-06 20:00:00
2013,11,7,557,600,-3,843,834,9,"EV",4137,"N14991","EWR","ATL",127,746,6,0,2013-11-07 06:00:00
2013,11,7,1123,1125,-2,1259,1310,-11,"AA",327,"N3KJAA","LGA","ORD",119,733,11,25,2013-11-07 11:00:00
2013,11,7,1732,1730,2,2110,2118,-8,"DL",434,"N718TW","JFK","SFO",362,2586,17,30,2013-11-07 17:00:00
2013,11,7,2010,2014,-4,2256,2242,14,"EV",4333,"N21197","EWR","TUL",194,1215,20,14,2013-11-07 20:00:00
2013,11,8,602,605,-3,724,730,-6,"WN",485,"N707SA","EWR","MDW",115,711,6,5,2013-11-08 06:00:00
2013,11,8,1013,1000,13,1317,1311,6,"UA",1257,"N73256","LGA","IAH",212,1416,10,0,2013-11-08 10:00:00
2013,11,8,1356,1359,-3,1612,1632,-20,"DL",2247,"N930DL","LGA","ATL",117,762,13,59,2013-11-08 13:00:00
2013,11,8,1506,1510,-4,1701,1712,-11,"EV",4381,"N12922","EWR","DTW",88,488,15,10,2013-11-08 15:00:00
2013,11,11,755,800,-5,1023,1016,7,"9E",2921,"N935XJ","JFK","MSP",178,1029,8,0,2013-11-11 08:00:00
2013,11,11,1350,1359,-9,1540,1534,6,"EV",4171,"N13908","EWR","MSN",144,799,13,59,2013-11-11 13:00:00
2013,11,11,1912,1905,7,2154,2205,-11,"AA",1691,"N4XBAA","EWR","DFW",198,1372,19,5,2013-11-11 19:00:00
2013,11,12,632,635,-3,846,903,-17,"UA",245,"N530UA","EWR","DEN",215,1605,6,35,2013-11-12 06:00:00
2013,11,12,639,639,0,933,955,-22,"UA",1439,"N35271","EWR","LAX",323,2454,6,39,2013-11-12 06:00:00
2013,11,12,1527,1535,-8,1854,1857,-3,"B6",1729,"N216JB","JFK","RSW",182,1074,15,35,2013-11-12 15:00:00
2013,11,13,1049,1056,-7,1218,1230,-12,"EV",5309,"N724EV","LGA","BGR",59,378,10,56,2013-11-13 10:00:00
2013,11,13,1552,1600,-8,1854,1903,-9,"B6",305,"N520JB","EWR","FLL",155,1065,16,0,2013-11-13 16:00:00
2013,11,13,1615,1620,-5,1833,1835,-2,"DL",1619,"N915DL","LGA","MSP",144,1020,16,20,2013-11-13 16:00:00
2013,11,14,558,605,-7,714,730,-16,"WN",485,"N645SW","EWR","MDW",107,711,6,5,2013-11-14 06:00:00
2013,11,14,741,736,5,907,920,-13,"B6",885,"N281JB","JFK","RDU",63,427,7,36,2013-11-14 07:00:00
2013,11,14,803,810,-7,918,954,-36,"EV",5463,"N612QX","LGA","BNA",102,764,8,10,2013-11-14 08:00:00
2013,11,14,824,835,-11,1024,1045,-21,"EV",4638,"N13566","EWR","CVG",92,569,8,35,2013-11-14 08:00:00
2013,11,14,838,830,8,1101,1100,1,"F9",509,"N204FR","LGA","DEN",230,1620,8,30,2013-11-14 08:00:00
2013,11,14,900,905,-5,1158,1220,-22,"VX",161,"N851VA","EWR","LAX",334,2454,9,5,2013-11-14 09:00:00
2013,11,14,2059,2110,-11,2233,2306,-33,"EV",4885,"N740EV","LGA","ILM",73,500,21,10,2013-11-14 21:00:00
2013,11,15,826,829,-3,954,958,-4,"EV",5813,"N13913","EWR","RIC",57,277,8,29,2013-11-15 08:00:00
2013,11,15,2038,2040,-2,2353,2359,-6,"B6",523,"N641JB","JFK","LAX",350,2475,20,40,2013-11-15 20:00:00
2013,11,17,1540,1540,0,1725,1725,0,"9E",2900,"N923XJ","JFK","BNA",130,765,15,40,2013-11-17 15:00:00
2013,11,17,2056,2000,56,2202,2115,47,"US",2162,"N951UW","LGA","BOS",32,184,20,0,2013-11-17 20:00:00
2013,11,18,654,655,-1,1121,1150,-29,"DL",315,"N3762Y","JFK","SJU",183,1598,6,55,2013-11-18 06:00:00
2013,11,18,655,701,-6,829,831,-2,"B6",2702,"N583JB","JFK","BUF",72,301,7,1,2013-11-18 07:00:00
2013,11,18,934,935,-1,1056,1115,-19,"WN",876,"N789SW","LGA","MDW",117,725,9,35,2013-11-18 09:00:00
2013,11,18,1610,1615,-5,1851,1856,-5,"DL",843,"N935DL","JFK","ATL",115,760,16,15,2013-11-18 16:00:00
2013,11,18,1753,1800,-7,1937,1942,-5,"UA",691,"N461UA","LGA","ORD",119,733,18,0,2013-11-18 18:00:00
2013,11,19,956,959,-3,1211,1241,-30,"EV",4140,"N16963","EWR","ATL",116,746,9,59,2013-11-19 09:00:00
2013,11,19,1204,1205,-1,1310,1330,-20,"WN",483,"N904WN","EWR","MDW",113,711,12,5,2013-11-19 12:00:00
2013,11,19,1404,1404,0,1656,1703,-7,"UA",1232,"N77430","EWR","IAH",203,1400,14,4,2013-11-19 14:00:00
2013,11,20,656,700,-4,825,836,-11,"UA",1177,"N78285","EWR","ORD",114,719,7,0,2013-11-20 07:00:00
2013,11,20,1252,1300,-8,1411,1410,1,"US",2148,"N961UW","LGA","BOS",34,184,13,0,2013-11-20 13:00:00
2013,11,20,1805,1810,-5,2123,2129,-6,"B6",1013,"N662JB","JFK","LGB",354,2465,18,10,2013-11-20 18:00:00
2013,11,20,2043,2033,10,2214,2206,8,"FL",1159,"N607AT","LGA","CAK",60,397,20,33,2013-11-20 20:00:00
2013,11,20,2116,2100,16,2248,2239,9,"EV",5048,"N391CA","LGA","RIC",51,292,21,0,2013-11-20 21:00:00
2013,11,21,631,635,-4,844,849,-5,"EV",4412,"N12135","EWR","MSP",160,1008,6,35,2013-11-21 06:00:00
2013,11,21,951,1000,-9,1111,1120,-9,"US",2175,"N754UW","LGA","DCA",37,214,10,0,2013-11-21 10:00:00
2013,11,21,1708,1704,4,1917,1908,9,"US",894,"N176UW","LGA","CLT",88,544,17,4,2013-11-21 17:00:00
2013,11,21,1954,1935,19,2144,2132,12,"EV",5287,"N741EV","LGA","MSN",127,812,19,35,2013-11-21 19:00:00
2013,11,22,1711,1455,136,1938,1805,93,"AA",2285,"N5DNAA","JFK","MCO",129,944,14,55,2013-11-22 14:00:00
2013,11,22,1919,1920,-1,2123,2202,-39,"9E",2925,"N915XJ","JFK","MSY",171,1182,19,20,2013-11-22 19:00:00
